station_id,station_name,city,state,latitude,longitude,timestamp,AQI,PM2.5,PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,traffic_level
ST009,Perungudi,Chennai,Tamil Nadu,12.9654,80.2461,2026-01-10 23:14:14,187,101.95,194.34,50.27,4.93,0.52,95.39,27.3,64.2,2.0,Low
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-11 01:45:11,248,32.68,239.1,76.95,16.83,2.92,91.58,27.0,58.3,1.1,Moderate
ST010,Nungambakkam,Chennai,Tamil Nadu,13.0626,80.2295,2026-01-11 02:04:05,161,127.48,106.11,83.72,23.6,2.26,11.39,38.0,47.9,3.0,Moderate
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-11 02:32:43,61,38.99,64.82,85.57,37.95,2.02,30.72,32.4,62.0,2.7,Moderate
ST001,T Nagar,Chennai,Tamil Nadu,13.0418,80.2341,2026-01-11 02:53:43,109,19.7,116.34,12.02,11.19,1.91,88.05,32.2,54.7,5.6,Moderate
ST003,Velachery,Chennai,Tamil Nadu,12.9815,80.218,2026-01-11 05:13:28,56,48.81,52.95,27.79,12.03,0.44,40.11,36.9,61.7,6.0,Moderate
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-11 06:20:09,142,92.73,141.96,6.24,21.46,1.09,66.29,37.4,56.0,1.5,Low
ST002,Adyar,Chennai,Tamil Nadu,13.0012,80.2565,2026-01-11 07:46:13,272,207.26,255.49,55.2,21.17,3.18,29.07,27.7,51.0,1.6,High
ST009,Perungudi,Chennai,Tamil Nadu,12.9654,80.2461,2026-01-11 12:08:26,154,69.09,151.92,74.76,28.54,1.93,15.76,35.3,47.6,3.7,Moderate
ST006,Tambaram,Chennai,Tamil Nadu,12.9229,80.1275,2026-01-11 13:30:18,209,45.35,195.44,10.45,12.78,2.84,60.16,39.1,46.2,5.3,High
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-11 15:14:54,198,49.67,182.99,87.91,18.1,1.81,96.35,38.1,42.5,1.9,Moderate
ST003,Velachery,Chennai,Tamil Nadu,12.9815,80.218,2026-01-11 16:04:40,161,40.79,158.72,42.74,8.31,1.11,81.3,31.8,82.4,4.4,Moderate
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-11 16:38:44,111,81.8,40.77,44.29,4.11,2.45,50.84,34.4,88.4,4.4,High
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-11 17:41:16,160,135.51,154.93,82.01,38.21,4.95,8.8,33.9,75.9,2.7,High
ST009,Perungudi,Chennai,Tamil Nadu,12.9654,80.2461,2026-01-11 17:54:46,85,34.09,93.14,53.24,29.78,3.92,67.34,33.8,47.6,0.9,Low
ST006,Tambaram,Chennai,Tamil Nadu,12.9229,80.1275,2026-01-11 20:00:16,155,34.55,138.73,45.31,3.67,2.56,51.84,33.8,44.7,4.6,Low
ST010,Nungambakkam,Chennai,Tamil Nadu,13.0626,80.2295,2026-01-11 23:38:51,224,172.17,71.78,68.47,4.99,3.13,20.57,24.0,80.5,1.0,Moderate
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-12 00:19:33,191,142.57,63.33,23.0,5.17,3.73,60.08,30.9,63.5,1.4,Low
ST002,Adyar,Chennai,Tamil Nadu,13.0012,80.2565,2026-01-12 03:54:14,37,27.91,42.15,8.2,27.72,2.19,72.27,30.0,87.5,4.5,Moderate
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-12 03:55:12,33,40.22,25.54,14.12,26.58,2.32,28.74,34.4,41.2,5.0,Moderate
ST010,Nungambakkam,Chennai,Tamil Nadu,13.0626,80.2295,2026-01-12 04:40:55,119,90.19,57.47,20.36,10.84,2.02,69.81,32.5,83.7,6.0,Moderate
ST002,Adyar,Chennai,Tamil Nadu,13.0012,80.2565,2026-01-12 04:48:01,39,44.86,52.99,24.1,5.31,1.47,81.16,38.2,45.2,5.0,Low
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-12 04:53:57,184,137.56,167.69,62.0,3.85,3.41,46.61,27.9,67.5,1.6,Low
ST002,Adyar,Chennai,Tamil Nadu,13.0012,80.2565,2026-01-12 04:57:20,101,43.33,106.41,41.1,39.74,4.96,15.9,27.6,63.8,1.2,Moderate
ST009,Perungudi,Chennai,Tamil Nadu,12.9654,80.2461,2026-01-12 05:21:08,176,123.26,164.07,39.28,25.05,2.51,83.58,27.5,41.7,2.8,Low
ST004,Anna Nagar,Chennai,Tamil Nadu,13.085,80.2101,2026-01-12 07:36:19,300,40.82,313.72,36.1,9.77,1.58,6.33,26.2,40.2,1.8,High
ST001,T Nagar,Chennai,Tamil Nadu,13.0418,80.2341,2026-01-12 07:49:19,54,46.09,35.8,68.31,7.61,1.94,11.09,28.4,44.4,5.1,High
ST006,Tambaram,Chennai,Tamil Nadu,12.9229,80.1275,2026-01-12 08:12:08,87,79.47,71.41,60.1,2.91,2.44,94.44,33.6,65.7,2.1,Low
ST007,Porur,Chennai,Tamil Nadu,13.0382,80.1565,2026-01-12 10:03:00,160,40.89,164.55,72.25,34.85,1.59,13.48,27.1,72.7,0.8,Moderate
ST003,Velachery,Chennai,Tamil Nadu,12.9815,80.218,2026-01-12 10:28:57,64,59.84,71.14,18.21,30.25,1.19,48.15,37.9,76.2,2.7,Low
ST001,T Nagar,Chennai,Tamil Nadu,13.0418,80.2341,2026-01-12 10:55:01,145,110.28,107.21,42.26,14.55,2.69,85.8,33.2,83.3,2.1,Moderate
ST008,OMR,Chennai,Tamil Nadu,12.9716,80.2518,2026-01-12 11:03:27,97,86.73,115.68,73.26,28.06,4.12,28.75,31.7,56.7,3.0,Moderate
ST002,Adyar,Chennai,Tamil Nadu,13.0012,80.2565,2026-01-12 11:21:47,109,27.06,100.86,9.09,4.99,2.1,17.61,33.0,40.5,2.3,Moderate
ST007,Porur,Chennai,Tamil Nadu,13.0382,80.1565,2026-01-12 11:47:38,343,34.39,332.58,105.88,9.55,0.44,82.47,28.5,67.1,1.3,High
ST005,Guindy,Chennai,Tamil Nadu,13.0067,80.2206,2026-01-12 12:52:54,73,66.23,54.74,14.16,9.44,0.62,90.68,38.5,56.0,4.2,Low
